Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_003046745.1	ASM304674v1	Saccharomyces cerevisiae		I-329					Annotation submitted by Institute of Bioengineering, Research Center of Biotechnology of RAS	Contig	2018-04-09	PTER01	69
GCA_030035895.1	CBM_collapsed.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Scaffold	2022-11-28	CANCVM01	16
GCA_949125735.1	CBM_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Scaffold	2023-04-08	CASBPF01	16
GCA_003046695.1	ASM304669v1	Saccharomyces cerevisiae		I-30					Annotation submitted by Institute of Bioengineering, Research Center of Biotechnology of RAS	Contig	2018-04-09	PTEP01	156
GCA_029991455.1	BAM.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Scaffold	2022-11-29	CANCMI01	16
GCA_949124505.1	BAM.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Scaffold	2023-04-08	CASBMJ01	16
GCA_949123545.1	CNT_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Contig	2023-04-08	CASBJC01	45
GCA_949121655.1	ASN_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Contig	2023-04-08	CASBIS01	61
GCA_949122005.1	AKR_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Contig	2023-04-08	CASBIQ01	63
GCA_949123155.1	CIH_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Contig	2023-04-08	CASBJA01	97
GCA_014132375.1	Scer_NYR20_01	Saccharomyces cerevisiae		NYR20					Annotation submitted by Fukuyama University	Scaffold	2020-07-24	BLZP01	17
GCA_001983315.1	ASM198331v1	Saccharomyces cerevisiae		131					Annotation submitted by WUR	Contig	2017-02-02	MQVN01	236
GCA_949121915.1	ADM_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	Contig	2023-04-08	CASBIL01	157
GCA_009014655.1	Scer_Pf_1_01	Saccharomyces cerevisiae		Pf-1					Annotation submitted by Chubu university	Scaffold	2019-10-03	BKZN01	2247
GCA_026585715.1	ASM2658571v1	Saccharomyces cerevisiae		SG60					Annotation submitted by University of Warwick	Contig	2022-12-02	WMLL01	552
GCA_026585705.1	ASM2658570v1	Saccharomyces cerevisiae		SGU90					Annotation submitted by University of Warwick	Contig	2022-12-02	WNEF01	545
GCA_014905575.1	SCawmr101_1.0	Saccharomyces cerevisiae		Awamori-101					Annotation submitted by Biojet Co., Lrd.	Scaffold	2020-10-07	BNHH01	351
GCA_002804325.1	ASM280432v1	Saccharomyces cerevisiae		I-328					Annotation submitted by Institute of Bioengineering, Research Center of Biotechnology of RAS	Contig	2017-12-04	PEJR01	531
GCA_003046715.1	ASM304671v1	Saccharomyces cerevisiae		I-566					Annotation submitted by Institute of Bioengineering, Research Center of Biotechnology of RAS	Contig	2018-04-09	PTEQ01	562
GCA_026954905.1	ASM2695490v1	Saccharomyces cerevisiae		1014					Annotation submitted by University of Warwick	Contig	2022-12-16	WNEH01	470
GCA_026954535.1	ASM2695453v1	Saccharomyces cerevisiae		EM93					Annotation submitted by University of Warwick	Contig	2022-12-16	WOFK01	829
GCA_014132395.1	Scer_P-684_01	Saccharomyces cerevisiae		P-684					Annotation submitted by Fukuyama University	Scaffold	2020-07-24	BLZQ01	17
GCA_000182175.1	ASM18217v1	Saccharomyces cerevisiae AWRI1631		AWRI1631					Annotation submitted by The Australian Wine Research Institute (AWRI), Australia	Contig	2008-09-30	ABSV01	2484
GCA_000149365.1	ASM14936v1	Saccharomyces cerevisiae RM11-1a		RM11-1a					Annotation submitted by Broad Institute	Scaffold	2008-05-05	AAEG01	17
GCA_000326005.1	ScFostersO_v01	Saccharomyces cerevisiae FostersO		FostersO					Annotation submitted by The Australian Wine Research Institute	Contig	2011-02-11	AEEZ01	222
GCA_043157545.1	ASM4315754v1	Schizosaccharomyces pombe		I-540					Annotation submitted by Institute of Bioengineering, Research Center of Biotechnology of RAS	Contig	2024-10-15	JBHHLB01	674
GCA_014049485.1	ASM1404948v1	Candida albicans		FDAARGOS_656					Annotation submitted by US Food and Drug Administration	Contig	2020-08-03	JABWAD01	68
GCA_000784655.1	Cand_albi_SC5314_V3	Candida albicans SC5314		SC5314					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JTBX01	77
GCA_000784635.1	Cand_albi_SC5314_V4	Candida albicans SC5314		SC5314					Annotation submitted by Broad Institute	Scaffold	2014-11-17	AJJF01	38
GCA_000774085.1	Cand_albi_P87_V2	Candida albicans P87		P87					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJIT01	44
GCA_000775455.1	Cand_albi_L26_V2	Candida albicans L26		L26					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJIR01	57
GCA_000784515.1	Cand_albi_P37039_V1	Candida albicans P37039		P37039					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JSXQ01	50
GCA_000784505.1	Cand_albi_P76055_V1	Candida albicans P76055		P76055					Annotation submitted by Broad Institute	Scaffold	2014-11-17	AJJD01	38
GCA_000775525.1	Cand_albi_P75063_V1	Candida albicans P75063		P75063					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJJC01	51
GCA_000773805.1	Cand_albi_P57072_V1	Candida albicans P57072		P57072					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJIY01	45
GCA_000773845.1	Cand_albi_12C_V2	Candida albicans 12C		12C					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJIQ01	50
GCA_000773755.1	Cand_albi_P94015_V1	Candida albicans P94015		P94015					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJIS01	58
GCA_000775445.1	Cand_albi_19F_V2	Candida albicans 19F		19F					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJIV01	60
GCA_000784525.1	Cand_albi_P60002_V1	Candida albicans P60002		P60002					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JSXP01	47
GCA_000784695.1	Cand_albi_Ca6_V2	Candida albicans Ca6		Ca6					Annotation submitted by Broad Institute	Scaffold	2014-11-17	AJJG01	82
GCA_000773825.1	Cand_albi_P37037_V1	Candida albicans P37037		P37037					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJJA01	48
GCA_000784495.1	Cand_albi_P76067_V1	Candida albicans P76067		P76067					Annotation submitted by Broad Institute	Scaffold	2014-11-17	AJJE01	45
GCA_000784575.1	Cand_albi_P75010_V1	Candida albicans P75010		P75010					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JSXR01	56
GCA_000773745.1	Cand_albi_P37005_V2	Candida albicans P37005		P37005					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJIU01	45
GCA_000784615.1	Cand_albi_P78042_V1	Candida albicans P78042		P78042					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JPEW01	70
GCA_000773735.1	Cand_albi_GC75_V1	Candida albicans GC75		GC75					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJIW01	73
GCA_000773725.1	Cand_albi_P78048_V1	Candida albicans P78048		P78048					Annotation submitted by Broad Institute	Scaffold	2014-11-05	AJIX01	59
GCA_000775505.1	Cand_albi_P57055_V1	Candida albicans P57055		P57055					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJJB01	56
GCA_000775465.1	Cand_albi_P34048_V1	Candida albicans P34048		P34048					Annotation submitted by Broad Institute	Scaffold	2014-11-10	AJIZ01	52
GCA_000784595.1	Cand_albi_P75016_V1	Candida albicans P75016		P75016					Annotation submitted by Broad Institute	Scaffold	2014-11-17	JPEV01	50
GCA_000691765.2	Cand_albi_Ca529L_V1	Candida albicans Ca529L		Ca529L					Annotation submitted by Broad Institute	Scaffold	2014-05-15	ASHC01	87
GCA_002831795.1	ASM283179v1	Plasmodium falciparum NF54					NF54		Annotation submitted by Institut Pasteur	Scaffold	2017-12-11	NYMT01	19
GCA_012898025.1	ASM1289802v1	Plasmodium falciparum NF54					NF54		Annotation submitted by Institut Pasteur	Scaffold	2020-04-29	QFXU01	22
GCA_000401695.2	Plas_falc_NF4_V1	Plasmodium falciparum NF54					NF54		Annotation submitted by Broad Institute	Scaffold	2014-01-17	AMYQ01	371
GCA_000149795.1	ASM14979v1	Plasmodium falciparum Dd2					Dd2		Annotation submitted by Broad Institute	Scaffold	2009-09-22	AASM01	2837
GCA_000149665.2	ASM14966v2	Plasmodium falciparum HB3					HB3		Annotation submitted by Broad Institute	Scaffold	2009-09-22	AANS01	1189
GCA_000186055.2	ASM18605v2	Plasmodium falciparum IGH-CR14		IGH-CR14					Annotation submitted by Broad Institute	Scaffold	2015-07-31	ACBS01	849
GCA_000186025.2	ASM18602v2	Plasmodium falciparum RAJ116		RAJ116					Annotation submitted by Broad Institute	Scaffold	2015-07-23	ACBR01	1199
GCA_000521075.1	Plas_falc_NF135_5_C10_V1	Plasmodium falciparum NF135/5.C10		NF135/5.C10					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPS01	234
GCA_000150435.3	Plas_falc_7G8_V1	Plasmodium falciparum 7G8		7G8					Annotation submitted by Broad Institute	Scaffold	2014-01-28	ABGZ02	277
GCA_000521115.1	Plas_falc_Malayan_Camp_V1	Plasmodium falciparum CAMP/Malaysia		CAMP/Malaysia					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPU01	331
GCA_000150455.3	Plas_falc_Santa_Lucia_Salvador_I_V1	Plasmodium falciparum Santa Lucia		Santa Lucia					Annotation submitted by Broad Institute	Scaffold	2014-01-28	ABHA02	247
GCA_000521015.1	Plas_falc_Vietnam_Oak-Knoll_FVO_V1	Plasmodium falciparum Vietnam Oak-Knoll (FVO)		Vietnam Oak-Knoll (FVO)					Annotation submitted by Broad Institute	Scaffold	2014-01-16	AOPP01	447
GCA_000521055.1	Plas_falc_02000708_V1	Plasmodium falciparum Tanzania (2000708)		Tanzania (2000708)					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPR01	988
GCA_000401715.2	Plas_falc_5_1_V1	Plasmodium falciparum UGT5.1		UGT5.1					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AMYP01	545
GCA_000521035.1	Plas_falc_MaliPS096_E11_V1	Plasmodium falciparum MaliPS096_E11		MaliPS096_E11					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPQ01	547
GCA_000521095.1	Plas_falc_Uganda_Palo-Alto_FUP_H_V1	Plasmodium falciparum Palo Alto/Uganda		Palo Alto/Uganda					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPT01	218
GCA_000521155.1	Plas_falc_FCH_4_V2	Plasmodium falciparum FCH/4		FCH/4					Annotation submitted by Broad Institute	Scaffold	2014-01-17	AOPV01	405
GCA_004011995.1	AWRI_Vv-CHD_1.0	Vitis vinifera			Chardonnay		I10V1		Annotation submitted by Australian Wine Research Institute	Contig	2019-01-10	QGNW01	852
GCA_000751015.1	AST_PRJEB5043_v1	Brassica napus							Annotation submitted by GSC	Scaffold	2014-08-26	CCCW01	20899
GCA_004114815.1	Hulless_Barley_ass.V2	Hordeum vulgare			Lasa Goumang				Institute of Agricultural Research, Tibet Academy of Agricultural and Animal Husbandry Sciences Hulless Barley Annotation v2	Scaffold	2019-01-28	SDOW01	1856
GCA_013841205.1	ASM1384120v1	Apis mellifera caucasica					Jilin02		Annotation submitted by CHGC	Contig	2020-07-28	JACDQY01	224
GCA_049000225.1	FoBRF1v1	Fusarium oxysporum		BRF1					Annotation submitted by The University of Queensland	Contig	2025-03-26	JBKAHJ01	52
GCA_020744355.1	Fusoxys1	Fusarium oxysporum		MPI-CAGE-CH-0212					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAHEVI01	66
GCA_030020275.1	Fusox3_1	Fusarium oxysporum		Fo4287					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-05-15	JASEYP01	44
GCA_020744455.1	Fusoxy1	Fusarium oxysporum		MPI-SDFR-AT-0094					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-05	JAHEWL01	128
GCA_027945405.1	F_oxy_CF00159	Fusarium oxysporum		CF00159					Annotation submitted by University of California, Riverside	Contig	2023-01-24	JAOQBI01	136
GCA_024865645.1	FO09_002	Fusarium oxysporum		09-002					Annotation submitted by InfoBoss Research Center	Scaffold	2022-09-02	JANKHN01	1498
GCA_900096695.1	version 1	Fusarium oxysporum		V64-1					Annotation submitted by Technische Universitat Munchen - WZW	Scaffold	2017-10-06	FMJY01	49
GCA_027945555.1	F_oxy_CF00132	Fusarium oxysporum		CF00132					Annotation submitted by University of California, Riverside	Scaffold	2023-01-24	JAOQAY01	383
GCA_027945335.1	F_oxy_CF00165	Fusarium oxysporum		CF00165					Annotation submitted by University of California, Riverside	Scaffold	2023-01-24	JAOQBG01	245
GCA_027945535.1	F_oxy_CF00115	Fusarium oxysporum		CF00115					Annotation submitted by University of California, Riverside	Scaffold	2023-01-24	JAOQAX01	208
GCA_027945265.1	F_oxy_CF00141	Fusarium oxysporum		CF00141					Annotation submitted by University of California, Riverside	Scaffold	2023-01-24	JAOQBB01	239
GCA_027945305.1	F_oxy_CF00160	Fusarium oxysporum		CF00160					Annotation submitted by University of California, Riverside	Scaffold	2023-01-24	JAOQBE01	259
GCA_003615185.1	Fo_PG_v1	Fusarium oxysporum		Fo_PG					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRDA01	920
GCA_032884055.1	ASM3288405v1	Fusarium oxysporum		BPOP18					Annotation submitted by National Technical University of Athens	Scaffold	2023-10-20	JAULRZ01	854
GCA_003615155.1	Fo_A28_v1	Fusarium oxysporum		Fo_A28					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRCY01	2373
GCA_003615165.1	Fo_CB3_v1	Fusarium oxysporum		Fo_CB3					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRCZ01	1719
GCA_003615115.1	Fo_A13_v1	Fusarium oxysporum		Fo_A13					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRCX01	3121
GCA_013363075.1	ASM1336307v1	Fusarium oxysporum		NRRL 39464					Annotation submitted by US Department of Agriculture, Agriculture Research Service	Scaffold	2020-06-19	JAAFOW01	5286
GCA_005930515.1	ASM593051v1	Fusarium oxysporum f. sp. cubense		160527					Annotation submitted by RIKEN	Contig	2019-06-03	SRMI01	12
GCA_007994515.1	ASM799451v1	Fusarium oxysporum f. sp. cubense		TR4			UK0001		Annotation submitted by University of Exeter	Contig	2019-08-13	VMNF01	15
GCA_018894095.1	ASM1889409v1	Fusarium oxysporum f. sp. conglutinans		Cong1-1					Annotation submitted by RIKEN	Scaffold	2021-06-16	RSAI01	147
GCA_000350345.1	Foc1_1.0	Fusarium oxysporum f. sp. cubense race 1		race 1					Annotation submitted by BGI	Scaffold	2013-04-09	AMGP01	1341
GCA_023509805.1	Fusoxalb1	Fusarium oxysporum f. sp. albedinis		9					Annotation submitted by DOE Joint Genome Institute	Contig	2022-05-19	JAKELM01	114
GCA_000271705.2	FO_Fo47_V1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Broad Institute	Scaffold	2014-02-06	AFMM01	124
GCA_026229875.1	ASM2622987v1	Fusarium oxysporum f. sp. albedinis		13116					Annotation submitted by University of Neuchatel	Scaffold	2022-11-17	JACWCA01	2834
GCA_038050555.1	ASM3805055v1	Fusarium oxysporum f. sp. vasinfectum		F17					Annotation submitted by Huazhong Agricultural University	Scaffold	2024-04-10	JBBJCF01	30
GCA_032991405.1	FOV4_Tm2_1.0	Fusarium oxysporum f. sp. vasinfectum					Tm2		Annotation submitted by USDA-ARS	Contig	2023-10-24	JAVENW01	16
GCA_032878545.1	FOV4_152J_1.0	Fusarium oxysporum f. sp. vasinfectum					15-2J		Annotation submitted by USDA-ARS	Contig	2023-10-20	JAVSMJ01	18
GCA_049000195.1	FovSG1v2	Fusarium oxysporum f. sp. vasinfectum		SG1					Annotation submitted by The University of Queensland	Contig	2025-03-26	JBKAHI01	56
GCA_020796175.1	ASM2079617v1	Fusarium oxysporum f. sp. matthiolae		Stocks4					Harrison Lab NIAB-EMR Release 1.01	Contig	2021-11-08	JAJGYP01	40
GCA_004141715.1	FoN_N139_v1	Fusarium oxysporum f. sp. narcissi		N139					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-06	MQTW01	4349
GCA_000222805.1	FOB1	Fusarium oxysporum f. sp. conglutinans Fo5176		Fo5176					Annotation submitted by CSIRO	Contig	2011-08-05	AFQF01	7858
GCA_051624415.1	ASM5162441v1	Fusarium oxysporum f. sp. zingiberi		pin22					Annotation submitted by The University of Queensland	Contig	2025-07-30	JBJUSL01	94
GCA_019157295.1	ASM1915729v1	Fusarium oxysporum f. sp. rapae		Tf1208					Annotation submitted by RIKEN	Contig	2021-07-07	JAELUQ01	25
GCA_019157275.1	ASM1915727v1	Fusarium oxysporum f. sp. raphani		Tf1262					Annotation submitted by RIKEN	Contig	2021-07-07	JAELUR01	59
GCA_000260155.3	FO_CL57_V1	Fusarium oxysporum f. sp. radicis-lycopersici 26381		26381					Annotation submitted by Broad Institute	Scaffold	2014-02-19	AGNB01	418
GCA_000259975.2	FO_MN25_V1	Fusarium oxysporum f. sp. lycopersici MN25		MN25					Annotation submitted by Broad Institute	Scaffold	2014-02-06	AGBH01	388
GCA_000260495.2	FO_melonis_V1	Fusarium oxysporum f. sp. melonis 26406		26406					Annotation submitted by Broad Institute	Scaffold	2014-02-06	AGNE01	1146
GCA_000260075.2	FO_HDV247_V1	Fusarium oxysporum f. sp. pisi HDV247		HDV247					Annotation submitted by Broad Institute	Scaffold	2014-02-06	AGBI01	472
GCA_000260175.2	FO_Cotton_V1	Fusarium oxysporum f. sp. vasinfectum 25433		25433					Annotation submitted by Broad Institute	Scaffold	2014-02-19	AGNC01	985
GCA_003615075.1	FoC_A23_v1	Fusarium oxysporum f. sp. cepae		FoC_A23					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRCW01	1997
GCA_003615095.1	FoC_125_v1	Fusarium oxysporum f. sp. cepae		FoC_125					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2018-10-05	MRCV01	2119
GCA_000260235.2	FO_PHW815_V1	Fusarium oxysporum f. sp. raphani 54005		54005					Annotation submitted by Broad Institute	Scaffold	2014-02-06	AGNG01	1218
GCA_000260215.2	FO_PHW808_V1	Fusarium oxysporum f. sp. conglutinans race 2 54008		54008					Annotation submitted by Broad Institute	Scaffold	2014-02-19	AGNF01	2552
GCA_041154535.1	CsSME v1.0	Camellia sinensis var. sinensis			Seimei				Annotation submitted by Research Center for Advanced Analysis, National Agriculture and Food Research Organization	Scaffold	2024-06-10	BTIW01	181
GCA_002220045.1	Cneo_seroA_WM1408	Cryptococcus neoformans		WM-1408					Annotation submitted by Broad Institute	Scaffold	2017-07-17	NKHY01	898
GCA_002222245.1	Cryp_neof_grubii_cng2_V1	Cryptococcus neoformans		CM36					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKJ01	465
GCA_002222015.1	Cryp_neof_grubii_cng8_V1	Cryptococcus neoformans		RCT54					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKO01	494
GCA_002222135.1	Cryp_neof_grubii_cng1_V1	Cryptococcus neoformans		CM50					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKK01	511
GCA_002222025.1	Cryp_neof_grubii_cng4_V1	Cryptococcus neoformans		CM64					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKS01	568
GCA_002222145.1	Cryp_neof_grubii_cng6_V1	Cryptococcus neoformans		CM24					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKQ01	511
GCA_002222165.1	Cryp_neof_grubii_cng3_V1	Cryptococcus neoformans		CM52					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKT01	497
GCA_002215755.1	Cneo_seroA_V2	Cryptococcus neoformans		V2					Annotation submitted by Broad Institute	Scaffold	2017-07-07	NKHW01	669
GCA_002222155.1	Cryp_neof_grubii_cng11_V1	Cryptococcus neoformans		RCT21					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKL01	587
GCA_002215745.1	Cneo_seroA_V31	Cryptococcus neoformans		V31					Annotation submitted by Broad Institute	Scaffold	2017-07-07	NKHX01	841
GCA_002222095.1	Cryp_neof_grubii_cng7_V1	Cryptococcus neoformans		RCT6					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKP01	588
GCA_002222115.1	Cryp_neof_grubii_cng5_V1	Cryptococcus neoformans		CM20					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKR01	588
GCA_002217545.1	Cryp_neof_grubii_cng10_V1	Cryptococcus neoformans		CCTP51					Annotation submitted by Broad Institute	Scaffold	2017-07-13	APKM01	565
GCA_002215705.1	Cryp_neof_Bt1_V1	Cryptococcus neoformans Bt1		Bt1					Annotation submitted by Broad Institute	Scaffold	2017-06-27	AMKS01	52
GCA_002215885.1	Cryp_neof_125_91_V1	Cryptococcus neoformans 125.91		125.91					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMKM01	37
GCA_002234625.1	Cryp_neof_Bt63_V1	Cryptococcus neoformans Bt63		Bt63					Annotation submitted by Broad Institute	Scaffold	2017-07-27	AMKQ01	53
GCA_002215825.1	Cryp_neof_C23_V1	Cryptococcus neoformans C23		C23					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMLK01	107
GCA_002215775.1	Cryp_neof_AD2_60a_V1	Cryptococcus neoformans AD2-60a		AD2-60a					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMLG01	168
GCA_002222335.1	Cryp_neof_Bt15_V1	Cryptococcus neoformans Bt15		Bt15					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKU01	33
GCA_002222375.1	Cryp_neof_A2_102_5_V1	Cryptococcus neoformans A2-102-5		A2-102-5					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMLI01	47
GCA_002224005.1	Cryp_neof_Gb118_V1	Cryptococcus neoformans Gb118		Gb118					Annotation submitted by Broad Institute	Scaffold	2017-07-24	AMLF01	68
GCA_002215835.1	Cryp_neof_Bt85_V1	Cryptococcus neoformans Bt85		Bt85					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMKP01	39
GCA_002222465.1	Cryp_neof_Bt120_V1	Cryptococcus neoformans Bt120		Bt120					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKV01	31
GCA_002222325.1	Cryp_neof_Tu259_1_V1	Cryptococcus neoformans Tu259-1		Tu259-1					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKT01	120
GCA_002222475.1	Cryp_neof_Tu401_1_V1	Cryptococcus neoformans Tu401-1		Tu401-1					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKO01	49
GCA_002222315.1	Cryp_neof_Th84_V1	Cryptococcus neoformans Th84		Th84					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKY01	118
GCA_002222405.1	Cryp_neof_C8_V1	Cryptococcus neoformans c8		c8					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMLC01	158
GCA_002220445.1	Cryp_neof_AD1_7a_V1	Cryptococcus neoformans AD1-7a		AD1-7a					Annotation submitted by Broad Institute	Contig	2017-07-17	AMLJ01	313
GCA_002222395.1	Cryp_neof_MW_RSA36_V1	Cryptococcus neoformans MW-RSA36		MW-RSA36					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMLD01	457
GCA_002222385.1	Cryp_neof_Ze90_1_V1	Cryptococcus neoformans Ze90-1		Ze90-1					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMKN01	164
GCA_002222255.1	Cryp_neof_D17_1_V1	Cryptococcus neoformans D17-1		D17-1					Annotation submitted by Broad Institute	Scaffold	2017-07-20	AMLH01	537
GCA_002222225.1	Cryp_neof_Br795_V1	Cryptococcus neoformans var. grubii Br795		Br795					Annotation submitted by Broad Institute	Contig	2017-07-20	AMLE01	625
GCA_002222455.1	Cryp_neof_MW_RSA1955_V1	Cryptococcus neoformans MW-RSA1955		MW-RSA1955					Annotation submitted by Broad Institute	Contig	2017-07-20	AMKZ01	487
GCA_002222215.1	Cryp_neof_grubii_A5-35-17_V1	Cryptococcus neoformans A5-35-17		A5-35-17					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKH01	592
GCA_002222295.1	Cryp_neof_CHC193_V1	Cryptococcus neoformans CHC193		CHC193					Annotation submitted by Broad Institute	Contig	2017-07-20	AMLB01	519
GCA_002215765.1	Cryp_neof_AD1_83a_V1	Cryptococcus neoformans AD1-83a		AD1-83a					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMLA01	498
GCA_002221985.1	Cryp_neof_grubii_A1-35-8_V1	Cryptococcus neoformans A1-35-8		A1-35-8					Annotation submitted by Broad Institute	Scaffold	2017-07-20	APKI01	557
GCA_002215855.1	Cryp_neof_C45_V1	Cryptococcus neoformans c45		c45					Annotation submitted by Broad Institute	Scaffold	2017-07-07	AMKX01	530
GCA_002220035.1	Cryp_neof_MW_RSA852_V1	Cryptococcus neoformans MW-RSA852		MW-RSA852					Annotation submitted by Broad Institute	Contig	2017-07-17	AMKW01	574
GCA_045820835.1	ASM4582083v1	Aspergillus fumigatus		UD1					Annotation submitted by DOE Joint Genome Institute	Contig	2024-12-06	JBISCG01	10
GCA_029618195.1	ASM2961819v1	Aspergillus fumigatus		5.1TA					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVJ01	182
GCA_029618285.1	ASM2961828v1	Aspergillus fumigatus		0040679185 AFU 30/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVN01	584
GCA_029618165.1	ASM2961816v1	Aspergillus fumigatus		M.20.0011028					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVG01	265
GCA_029618205.1	ASM2961820v1	Aspergillus fumigatus		070 01-70-BAL-1					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVI01	221
GCA_029618175.1	ASM2961817v1	Aspergillus fumigatus		M.20.0011027					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVH01	317
GCA_029618185.1	ASM2961818v1	Aspergillus fumigatus		0030661546 AFU 25/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JAKNCZ01	425
GCA_029618255.1	ASM2961825v1	Aspergillus fumigatus		0040668669 AFU 30/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVL01	253
GCA_029618275.1	ASM2961827v1	Aspergillus fumigatus		0040675686 AFU 30/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVM01	411
GCA_029618335.1	ASM2961833v1	Aspergillus fumigatus		0040676907 AFU 25/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVP01	567
GCA_029618305.1	ASM2961830v1	Aspergillus fumigatus		0040676010 AFU 30/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVO01	211
GCA_029618225.1	ASM2961822v1	Aspergillus fumigatus		0040673067 AFU 30/06					Annotation submitted by Vanderbilt University	Scaffold	2023-04-07	JALJVK01	325
GCA_020500845.1	ASM2050084v1	Aspergillus fumigatus		NRZ-2017-096					Annotation submitted by Leibniz-HKI	Contig	2021-10-14	JAIBTQ01	529
